task_id,domain,tier,model,provision,split,n_gold,veto,react,pipeline,mas,acc,visual,direct,rag,react_ver,y_true
bim_t1_000,bim,T1,buildingsmart_duplex,egress_clear_width,test,1,1,1,1,1,1,0.0,1,1,1,1
bim_t1_001,bim,T1,buildingsmart_office,egress_travel,test,1,1,1,1,1,0,0.0,0,1,0,1
bim_t1_002,bim,T1,schependomlaan,door_swing,test,1,1,1,1,1,1,0.0,0,0,1,1
bim_t1_003,bim,T1,buildingsmart_clinic,corridor_width,test,1,1,1,1,1,1,0.0,0,0,1,1
bim_t1_004,bim,T1,buildingsmart_warehouse,stair_riser,test,1,1,1,1,1,0,0.0,0,1,0,1
bim_t1_005,bim,T1,synthetic_schema_edge,ramp_slope,test,1,1,1,1,0,1,0.0,1,1,1,1
bim_t1_006,bim,T1,buildingsmart_duplex,accessible_route,test,1,1,1,1,1,1,0.0,0,0,1,1
bim_t1_007,bim,T1,buildingsmart_office,wc_clearance,test,1,1,1,1,1,1,0.0,0,0,1,1
bim_t1_008,bim,T1,schependomlaan,turning_circle,test,1,1,1,1,0,1,0.0,0,1,1,1
bim_t1_009,bim,T1,buildingsmart_clinic,handrail_height,test,1,1,1,1,1,1,0.0,0,0,0,1
bim_t1_010,bim,T1,buildingsmart_warehouse,landing_depth,test,1,1,1,1,1,1,0.0,0,0,1,1
bim_t1_011,bim,T1,synthetic_schema_edge,headroom,test,1,1,1,1,1,1,0.0,0,1,1,1
bim_t1_012,bim,T1,buildingsmart_duplex,room_area,test,1,1,1,1,1,1,0.0,1,0,1,1
bim_t1_013,bim,T1,buildingsmart_office,ceiling_height,test,1,1,1,1,1,1,0.0,1,1,1,1
bim_t1_014,bim,T1,schependomlaan,window_sill,test,1,1,1,1,1,1,0.0,0,0,1,1
bim_t1_015,bim,T1,buildingsmart_clinic,fire_compartment,test,1,1,1,1,1,1,0.0,0,1,1,1
bim_t1_016,bim,T1,buildingsmart_warehouse,fire_door_rating,test,1,1,1,1,1,1,0.0,0,0,0,1
bim_t1_017,bim,T1,synthetic_schema_edge,exit_signage,test,1,1,0,1,1,1,0.0,0,0,1,1
bim_t1_018,bim,T1,buildingsmart_duplex,dead_end,test,1,1,1,1,1,1,0.0,0,0,1,1
bim_t1_019,bim,T1,buildingsmart_office,occupancy_load,test,1,0,0,1,1,1,0.0,0,1,0,0
bim_t1_020,bim,T1,schependomlaan,opening_lintel,test,1,1,0,1,1,1,0.0,1,0,1,1
bim_t1_021,bim,T1,buildingsmart_clinic,guard_height,test,1,1,0,1,1,1,0.0,0,1,1,1
bim_t1_022,bim,T1,buildingsmart_warehouse,stair_width,test,1,1,1,1,1,1,0.0,0,0,0,1
bim_t1_023,bim,T1,synthetic_schema_edge,refuge_area,test,1,1,1,1,1,1,0.0,0,0,1,1
bim_t1_024,bim,T1,buildingsmart_duplex,egress_clear_width,test,1,1,1,0,1,1,0.0,0,0,0,1
bim_t1_025,bim,T1,buildingsmart_office,egress_travel,test,1,1,1,1,1,1,0.0,0,0,1,1
bim_t1_026,bim,T1,schependomlaan,door_swing,test,1,1,1,1,1,1,0.0,1,0,1,1
bim_t1_027,bim,T1,buildingsmart_clinic,corridor_width,test,1,1,1,1,1,1,0.0,1,1,1,1
bim_t1_028,bim,T1,buildingsmart_warehouse,stair_riser,test,1,1,1,0,1,1,0.0,0,1,0,1
bim_t1_029,bim,T1,synthetic_schema_edge,ramp_slope,test,1,1,1,1,0,1,0.0,1,0,0,1
bim_t2_000,bim,T2,buildingsmart_duplex,accessible_route,test,1,1,0,1,1,0,0.0,0,1,0,1
bim_t2_001,bim,T2,buildingsmart_office,wc_clearance,test,1,0,1,1,1,0,0.0,1,0,1,0
bim_t2_002,bim,T2,schependomlaan,turning_circle,test,1,1,0,1,1,1,0.0,0,1,1,1
bim_t2_003,bim,T2,buildingsmart_clinic,handrail_height,test,1,1,1,1,0,0,0.0,0,1,1,1
bim_t2_004,bim,T2,buildingsmart_warehouse,landing_depth,test,1,1,1,1,0,1,0.0,0,1,0,1
bim_t2_005,bim,T2,synthetic_schema_edge,headroom,test,1,1,1,1,0,1,0.0,0,0,1,1
bim_t2_006,bim,T2,buildingsmart_duplex,room_area,test,1,1,1,1,1,1,0.0,1,0,1,1
bim_t2_007,bim,T2,buildingsmart_office,ceiling_height,test,1,1,0,0,1,1,0.0,0,0,1,1
bim_t2_008,bim,T2,schependomlaan,window_sill,test,1,1,0,1,1,1,0.0,0,0,1,1
bim_t2_009,bim,T2,buildingsmart_clinic,fire_compartment,test,1,0,1,1,1,1,0.0,0,0,0,0
bim_t2_010,bim,T2,buildingsmart_warehouse,fire_door_rating,test,1,1,1,1,0,1,0.0,0,1,1,1
bim_t2_011,bim,T2,synthetic_schema_edge,exit_signage,test,1,1,1,0,1,1,0.0,0,0,1,1
bim_t2_012,bim,T2,buildingsmart_duplex,dead_end,test,1,1,1,1,1,0,0.0,0,1,0,1
bim_t2_013,bim,T2,buildingsmart_office,occupancy_load,test,1,1,1,1,1,1,0.0,0,1,1,1
bim_t2_014,bim,T2,schependomlaan,opening_lintel,test,1,1,1,1,1,1,0.0,0,1,1,1
bim_t2_015,bim,T2,buildingsmart_clinic,guard_height,test,1,1,1,1,1,0,0.0,0,0,1,1
bim_t2_016,bim,T2,buildingsmart_warehouse,stair_width,test,1,1,0,1,1,1,0.0,0,1,0,1
bim_t2_017,bim,T2,synthetic_schema_edge,refuge_area,test,1,1,1,1,1,1,0.0,0,0,1,1
bim_t2_018,bim,T2,buildingsmart_duplex,egress_clear_width,test,1,1,1,1,0,1,0.0,1,0,1,1
bim_t2_019,bim,T2,buildingsmart_office,egress_travel,test,1,1,1,0,1,1,0.0,1,1,0,1
bim_t2_020,bim,T2,schependomlaan,door_swing,test,1,1,1,1,1,0,0.0,1,1,0,1
bim_t2_021,bim,T2,buildingsmart_clinic,corridor_width,test,1,1,1,1,0,1,0.0,0,0,0,1
bim_t2_022,bim,T2,buildingsmart_warehouse,stair_riser,test,1,1,0,0,1,1,0.0,0,1,1,1
bim_t2_023,bim,T2,synthetic_schema_edge,ramp_slope,test,1,1,0,1,0,1,0.0,1,0,1,1
bim_t2_024,bim,T2,buildingsmart_duplex,accessible_route,test,1,1,1,1,1,1,0.0,0,0,1,1
bim_t2_025,bim,T2,buildingsmart_office,wc_clearance,test,1,1,1,1,1,1,0.0,0,0,1,1
bim_t2_026,bim,T2,schependomlaan,turning_circle,test,1,1,1,0,1,1,0.0,0,0,1,1
bim_t2_027,bim,T2,buildingsmart_clinic,handrail_height,test,1,1,1,1,1,1,0.0,1,0,1,1
bim_t2_028,bim,T2,buildingsmart_warehouse,landing_depth,test,1,1,0,0,1,1,0.0,1,0,1,1
bim_t2_029,bim,T2,synthetic_schema_edge,headroom,test,1,0,1,1,1,1,0.0,1,0,1,0
bim_t2_030,bim,T2,buildingsmart_duplex,room_area,test,1,1,0,0,1,1,0.0,0,1,1,1
bim_t2_031,bim,T2,buildingsmart_office,ceiling_height,test,1,1,0,1,1,1,0.0,0,1,0,1
bim_t2_032,bim,T2,schependomlaan,window_sill,test,1,1,1,1,1,1,0.0,0,0,1,1
bim_t2_033,bim,T2,buildingsmart_clinic,fire_compartment,test,1,1,0,0,1,1,0.0,1,1,1,1
bim_t3_000,bim,T3,buildingsmart_warehouse,fire_door_rating,test,1,1,0,1,1,1,0.0,0,1,0,1
bim_t3_001,bim,T3,synthetic_schema_edge,exit_signage,test,1,1,1,1,0,1,0.0,0,0,1,1
bim_t3_002,bim,T3,buildingsmart_duplex,dead_end,test,1,1,0,1,1,1,0.0,1,0,0,1
bim_t3_003,bim,T3,buildingsmart_office,occupancy_load,test,1,1,0,0,1,0,0.0,0,0,1,1
bim_t3_004,bim,T3,schependomlaan,opening_lintel,test,1,0,1,1,1,0,0.0,0,0,0,0
bim_t3_005,bim,T3,buildingsmart_clinic,guard_height,test,1,0,0,1,1,0,0.0,1,1,1,0
bim_t3_006,bim,T3,buildingsmart_warehouse,stair_width,test,1,1,0,1,0,1,0.0,0,0,0,1
bim_t3_007,bim,T3,synthetic_schema_edge,refuge_area,test,1,1,1,1,1,1,0.0,0,0,1,1
bim_t3_008,bim,T3,buildingsmart_duplex,egress_clear_width,test,1,1,0,1,1,0,0.0,0,1,1,1
bim_t3_009,bim,T3,buildingsmart_office,egress_travel,test,1,1,0,0,0,1,0.0,0,0,1,1
